indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
,1,order,9443,A.Primates,798,B.Primates,=,,,,canonicalName,number_of_children; scientificName,
—,2,,57118,A.unclassified Primates,,,,,,,,,
——,3,species,38020,A.marmosets,,,,,,,,,
——,4,species,70699,A.unidentified monkey,,,,,,,,,
——,5,species,976298,A.Primates sp. BOLD:AAA0001,,,,,,,,,
——,6,species,976299,A.Primates sp. BOLD:AAC9009,,,,,,,,,
——,7,species,976300,A.Primates sp. BOLD:AAE4744,,,,,,,,,
——,8,species,976301,A.Primates sp. BOLD:AAJ7304,,,,,,,,,
——,9,species,976302,A.Primates sp. BOLD:AAO0053,,,,,,,,,
——,10,species,1068292,A.Primates sp. BOLD:AAC7735,,,,,,,,,
——,11,species,1068293,A.Primates sp. BOLD:AAD0215,,,,,,,,,
——,12,species,1068294,A.Primates sp. BOLD:AAF0367,,,,,,,,,
—,13,family,30599,A.Indriidae,,,<,798,B.Primates,loss of resolution,B.Presbytis#7237060 is not in it,,
——,14,family,,,9422,B.Indridae,particle-set<=,30599,A.Indriidae,split,canonicalName+synonym,,
——,15,family,,,4827490,B.Indriidae,<,30599,A.Indriidae,increased resolution,A.Hadropithecus is not in it,,
———,16,genus,30600,A.Propithecus,2436427,B.Propithecus#2436427,=,,,moved,canonicalName,number_of_children,
————,17,species,30601,A.Propithecus tattersalli,5219528,B.Propithecus tattersalli,=,,,,scientificName,,tip
————,18,species,34825,A.Propithecus verreauxi,5219530,B.Propithecus verreauxi,=,,,,scientificName,,
—————,19,subspecies,122229,A.Propithecus verreauxi verreauxi,,,,,,,,,
—————,20,unranked,,,10167235,B.BOLD:ACS3830,,,,,,,
————,21,species,83281,A.Propithecus diadema,5219529,B.Propithecus diadema,=,,,,scientificName,number_of_children,
—————,22,subspecies,171945,A.Propithecus diadema diadema,5707426,B.Propithecus diadema diadema,=,,,,canonicalName,,tip
—————,23,subspecies,171947,A.Propithecus diadema marshi,,,,,,,,,
—————,24,unranked,,,9876951,B.BOLD:ACU9019,,,,,,,
—————,25,subspecies,,,8768432,B.Propithecus diadema holomelas,,,,,,,
—————,26,unranked,,,10411820,B.BOLD:ACV7445,,,,,,,
————,27,species,379532,A.Propithecus coquereli,5707433,B.Propithecus coquereli,=,,,,canonicalName,scientificName,tip
————,28,species,543559,A.Propithecus edwardsi,5707429,B.Propithecus edwardsi,=,,,,scientificName,number_of_children,
—————,29,unranked,,,10271461,B.BOLD:ACU9018,,,,,,,
—————,30,unranked,,,10016660,B.BOLD:ACV7446,,,,,,,
—————,31,subspecies,,,5786028,B.Propithecus diadema edwardsi,particle-set<=,543559,A.Propithecus edwardsi,split,canonicalName+synonym,,
————,32,species,543560,A.Propithecus candidus,5786030,B.Propithecus candidus,=,,,,scientificName,,tip
————,33,species,989338,A.Propithecus perrieri,5707425,B.Propithecus perrieri,=,,,,scientificName,,
—————,34,subspecies,,,5786023,B.Propithecus diadema perrieri,particle-set<=,989338,A.Propithecus perrieri,split,canonicalName+synonym,,
————,35,,2677806,A.unclassified Propithecus,,,,,,,,,
—————,36,species,39582,A.Propithecus sp.,,,,,,,,,
————,37,genus,,,3239610,B.Protopithecus#3239610,particle-set<=,30600,A.Propithecus,split,synonym+canonicalName,,
—————,38,species,,,5936371,B.Protopithecus bonaeriensis,,,,,,,
—————,39,species,,,5936370,B.Protopithecus brasiliensis,,,,,,,
————,40,unranked,,,10516386,B.BOLD:ADC6473,,,,,,,
———,41,genus,34826,A.Indri,2436431,B.Indri,=,,,moved,canonicalName,,
————,42,species,34827,A.Indri indri,2436432,B.Indri indri,=,,,,canonicalName,number_of_children,
—————,43,unranked,,,9923684,B.BOLD:ACU8069,,,,,,,
———,44,genus,122245,A.Avahi,2436425,B.Avahi,=,,,moved,canonicalName,number_of_children,
————,45,species,122246,A.Avahi laniger,2436426,B.Avahi laniger,=,,,,canonicalName,number_of_children,
—————,46,unranked,,,10563384,B.BOLD:ACV6530,,,,,,,
—————,47,unranked,,,10120494,B.BOLD:ADC6865,,,,,,,
————,48,species,132108,A.Avahi occidentalis,4267338,B.Avahi occidentalis,=,,,,canonicalName,,tip
————,49,species,402239,A.Avahi unicolor,4267337,B.Avahi unicolor,=,,,,scientificName,,tip
————,50,species,402244,A.Avahi cleesei,5786032,B.Avahi cleesei,=,,,,scientificName,,tip
————,51,species,1313323,A.Avahi peyrierasi,5786031,B.Avahi peyrierasi,=,,,,scientificName,,tip
————,52,species,,,5786036,B.Avahi ramanantsoavani,,,,,,,
————,53,species,,,7601079,B.Avahi mooreorum,,,,,,,
————,54,species,,,5786033,B.Avahi betsileo,,,,,,,
————,55,species,,,5786034,B.Avahi meridionalis,,,,,,,
———,56,unranked,,,9503946,B.? laniger,,,,,,,
———,57,genus,,,4827491,B.Mesopropithecus,,,,,,,
——,58,family,,,3239549,B.Archaeolemuridae,<,30599,A.Indriidae,increased resolution,A.Avahi is not in it,,
———,59,genus,523820,A.Archaeolemur,4827057,B.Archaeolemur,=,,,moved,canonicalName,taxonomicStatus; number_of_children,
————,60,species,523821,A.Archaeolemur majori,,,,,,,,,
